,,val_precision,val_precision,val_precision,val_precision,val_f1,val_f1,val_f1,val_f1,val_recall,val_recall,val_recall,val_recall
kernel_sizes,,"[1, 2, 3, 4, 5]","[1, 2, 3, 4]","[1, 2, 3]","[1, 2]","[1, 2, 3, 4, 5]","[1, 2, 3, 4]","[1, 2, 3]","[1, 2]","[1, 2, 3, 4, 5]","[1, 2, 3, 4]","[1, 2, 3]","[1, 2]"
dataset,filters,,,,,,,,,,,,
Twitter Biased,5,0.688888907433,0.726114630699,0.659340679646,0.695906460285,0.698591561479,0.686746984383,0.67226892712,0.687861288788,0.708571434021,0.651428580284,0.685714304447,0.680000007153
Twitter Biased,10,0.708333313465,0.722222208977,0.7468354702,0.763888895512,0.693877545211,0.694362032807,0.708708748217,0.689655188438,0.680000007153,0.668571412563,0.674285709858,0.62857145071
Twitter Biased,20,0.73584908247,0.720238089561,0.688524603844,0.678571403027,0.70059880533,0.705539340627,0.703910635347,0.664723054214,0.668571412563,0.691428542137,0.72000002861,0.651428580284
Twitter Biased,25,0.719512224197,0.721518993378,0.732484102249,0.710982680321,0.696165232761,0.684684692294,0.69277110724,0.706896559182,0.674285709858,0.651428580284,0.657142877579,0.702857136726
Twitter Biased,50,0.719298243523,0.713450312614,0.675531923771,0.744047641754,0.710982654801,0.705202312953,0.699724513644,0.728862993522,0.702857136726,0.697142839432,0.7257142663,0.714285731316
Twitter Biased,75,0.770700633526,0.745562136173,0.707182347775,0.700534760952,0.72891567456,0.732558187031,0.71910113394,0.723756919504,0.691428542137,0.72000002861,0.731428563595,0.748571455479
Twitter Biased,100,0.729885041714,0.736526966095,0.72000002861,0.691489338875,0.727793678679,0.719298251935,0.72000002861,0.716253468169,0.7257142663,0.702857136726,0.72000002861,0.742857158184
Twitter Gold,5,0.772413790226,0.728476822376,0.724358975887,0.708860754967,0.699999960721,0.674846639034,0.682779425645,0.672672662733,0.639999985695,0.62857145071,0.64571428299,0.639999985695
Twitter Gold,10,0.748344361782,0.743421077728,0.700636923313,0.744827568531,0.693251498636,0.691131507755,0.662650606052,0.67499999213,0.64571428299,0.64571428299,0.62857145071,0.617142856121
Twitter Gold,20,0.771812081337,0.716867446899,0.743589758873,0.74657535553,0.709876555472,0.697947177171,0.700906306073,0.679127767097,0.657142877579,0.680000007153,0.662857115269,0.622857153416
Twitter Gold,25,0.767123281956,0.758389234543,0.765957474709,0.708074510098,0.697819274215,0.697530851102,0.683544343738,0.678571452076,0.639999985695,0.64571428299,0.617142856121,0.651428580284
Twitter Gold,50,0.777027010918,0.733766257763,0.717791438103,0.712574839592,0.712074308639,0.686930070478,0.692307726076,0.695906461174,0.657142877579,0.64571428299,0.668571412563,0.680000007153
Twitter Gold,75,0.768211901188,0.72327041626,0.729032278061,0.732919275761,0.711656417518,0.688622754837,0.684848492139,0.702380959669,0.662857115269,0.657142877579,0.64571428299,0.674285709858
Twitter Gold,100,0.791666686535,0.701754391193,0.746666669846,0.717791438103,0.714733585268,0.693641630636,0.68923076229,0.692307726076,0.651428580284,0.685714304447,0.639999985695,0.668571412563
Twitter Silver,5,0.730538904667,0.763358771801,0.694610774517,0.685897409916,0.713450304569,0.65359478545,0.67836255678,0.646525661171,0.697142839432,0.571428596973,0.662857115269,0.611428558826
Twitter Silver,10,0.781021893024,0.763888895512,0.696428596973,0.72413790226,0.685897426123,0.689655188438,0.682215747363,0.656250002445,0.611428558826,0.62857145071,0.668571412563,0.600000023842
Twitter Silver,20,0.741935491562,0.75,0.729032278061,0.678362548351,0.696969711857,0.687306486351,0.684848492139,0.670520205009,0.657142877579,0.6342856884,0.64571428299,0.662857115269
Twitter Silver,25,0.76973682642,0.760273993015,0.701219499111,0.741496622562,0.715596314327,0.691588807664,0.678466051693,0.677018649749,0.668571412563,0.6342856884,0.657142877579,0.622857153416
Twitter Silver,50,0.734939754009,0.748344361782,0.694610774517,0.678160905838,0.715542480501,0.693251498636,0.67836255678,0.676217785807,0.697142839432,0.64571428299,0.662857115269,0.674285709858
Twitter Silver,75,0.75167787075,0.776978433132,0.704819262028,0.731543600559,0.691358024128,0.687898094755,0.686216993218,0.67283950235,0.639999985695,0.617142856121,0.668571412563,0.622857153416
Twitter Silver,100,0.708791196346,0.748427689075,0.731707334518,0.690058469772,0.722689070962,0.712574861533,0.707964649691,0.682080947621,0.737142860889,0.680000007153,0.685714304447,0.674285709858
Yelp Biased,5,0.842696607113,0.836304724216,0.824175834656,0.778287470341,0.865622422121,0.855012439788,0.855745706972,0.818327971104,0.88983052969,0.87457627058,0.88983052969,0.862711846828
Yelp Biased,10,0.842767298222,0.839682519436,0.81775701046,0.812400639057,0.87438822071,0.867213120306,0.852272767358,0.838392120394,0.908474564552,0.8966101408,0.88983052969,0.866101682186
Yelp Biased,20,0.84112149477,0.844197154045,0.810606062412,0.79598146677,0.876623345645,0.871205903687,0.855999964996,0.832659666701,0.915254235268,0.899999976158,0.906779646873,0.872881352901
Yelp Biased,25,0.842519700527,0.831288337708,0.819847345352,0.81523501873,0.873469419279,0.872785827359,0.862650607706,0.833471435421,0.906779646873,0.918644070625,0.910169482231,0.85254240036
Yelp Biased,50,0.828528046608,0.831790149212,0.821538448334,0.803100764751,0.874299430538,0.870759331006,0.861290307822,0.838866393001,0.925423741341,0.913559317589,0.905084729195,0.877966105938
Yelp Biased,75,0.834108531475,0.836734712124,0.825816512108,0.817187488079,0.871255089706,0.868785686883,0.861313872317,0.850406505141,0.91186439991,0.903389811516,0.899999976158,0.886440694332
Yelp Biased,100,0.827010631561,0.832817316055,0.800586521626,0.799703240395,0.872698168273,0.870550146987,0.858490548314,0.852848085851,0.923728823662,0.91186439991,0.925423741341,0.913559317589
Yelp Gold,5,0.845705986023,0.86482334137,0.825464963913,0.839313566685,0.875659380647,0.872192059763,0.861837234748,0.83996876551,0.907812476158,0.879687488079,0.901562511921,0.840624988079
Yelp Gold,10,0.85692769289,0.853915691376,0.82318842411,0.832826733589,0.872699358887,0.869631952272,0.854135372443,0.844375979757,0.889062523842,0.885937511921,0.887499988079,0.856249988079
Yelp Gold,20,0.833798885345,0.863636374474,0.823529422283,0.85185188055,0.880531009957,0.87692308251,0.858638789847,0.839016709448,0.932812511921,0.890625,0.896875023842,0.826562523842
Yelp Gold,25,0.85081243515,0.856720805168,0.849923431873,0.813218414783,0.874715265216,0.880789661868,0.858468708085,0.847305361545,0.899999976158,0.90625,0.8671875,0.884374976158
Yelp Gold,50,0.84232956171,0.82849240303,0.830903768539,0.808844506741,0.882440479705,0.878943523236,0.859728495253,0.845637588719,0.926562488079,0.935937523842,0.890625,0.885937511921
