activation,beta_1,beta_2,commit_hash,dataset,dimensions,dirname,dropout_rate,embeddings_path,epsilon,es__best_epoch,es__best_val_f1,filters,finetune,kernel_sizes,lr,pooling,total_epochs,vocab_size,weight_decay,loss,precision,recall,f1,aupr,val_loss,val_precision,val_recall,val_f1,val_aupr
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020252_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,97,0.672672662733,5,False,"[1, 2]",0.001,max,99,2063,0.001,6.26985883713,0.826852560043,0.715555548668,0.767188572114,0.868146654697,1.20325899124,0.708860754967,0.639999985695,0.672672662733,0.719057390547
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020308_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,33,0.67499999213,10,False,"[1, 2]",0.001,max,58,2063,0.001,6.67583560944,0.823269486427,0.709841251373,0.762359336549,0.848461100175,1.27948248386,0.744827568531,0.617142856121,0.67499999213,0.749497894913
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020322_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,17,0.682779425645,5,False,"[1, 2, 3]",0.001,max,42,2063,0.001,7.74720287323,0.79418694973,0.641904771328,0.709971941265,0.808504614058,1.36980736256,0.724358975887,0.64571428299,0.682779425645,0.739661344358
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020335_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,7,0.674846639034,5,False,"[1, 2, 3, 4]",0.001,max,32,2063,0.001,8.79238605499,0.759259283543,0.572698414326,0.652913509855,0.75234351742,1.45630776882,0.728476822376,0.62857145071,0.674846639034,0.721423898366
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020401_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,71,0.679127767097,20,False,"[1, 2]",0.001,max,96,2063,0.001,4.68093299866,0.891949176788,0.801904737949,0.844533628104,0.927702473016,1.17789959908,0.74657535553,0.622857153416,0.679127767097,0.766772177524
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020415_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,15,0.662650606052,10,False,"[1, 2, 3]",0.001,max,40,2063,0.001,7.04569768906,0.824167311192,0.67555552721,0.742498237894,0.838743262496,1.37563431263,0.700636923313,0.62857145071,0.662650606052,0.733609535883
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020436_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,51,0.678571452076,25,False,"[1, 2]",0.001,max,76,2063,0.001,4.8551440239,0.874226808548,0.807619035244,0.839603925994,0.919040755429,1.22699332237,0.708074510098,0.651428580284,0.678571452076,0.740221824101
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020501_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,33,0.699999960721,5,False,"[1, 2, 3, 4, 5]",0.001,max,58,2063,0.001,5.20919704437,0.867657482624,0.778412699699,0.820615774783,0.915016333964,1.07864558697,0.772413790226,0.639999985695,0.699999960721,0.780410504036
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020519_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,21,0.691131507755,10,False,"[1, 2, 3, 4]",0.001,max,46,2063,0.001,5.80423355103,0.856410264969,0.742222249508,0.795238084939,0.891586562655,1.21502113342,0.743421077728,0.64571428299,0.691131507755,0.771056268894
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020544_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,50,0.700906306073,20,False,"[1, 2, 3]",0.001,max,75,2063,0.001,4.12492227554,0.904432117939,0.829206347466,0.865187110494,0.944803262059,1.19895100594,0.743589758873,0.662857115269,0.700906306073,0.763253942976
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020612_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,69,0.695906461174,50,False,"[1, 2]",0.001,max,94,2063,0.001,3.89598584175,0.908115386963,0.859682559967,0.883235509992,0.95118802826,1.33736729622,0.712574839592,0.680000007153,0.695906461174,0.730182598683
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020629_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,23,0.683544343738,25,False,"[1, 2, 3]",0.001,max,48,2063,0.001,5.38369035721,0.870503604412,0.768253982067,0.816188881151,0.907016132273,1.22708141804,0.765957474709,0.617142856121,0.683544343738,0.762712197111
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020649_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,18,0.693251498636,10,False,"[1, 2, 3, 4, 5]",0.001,max,43,2063,0.001,5.70785236359,0.869694709778,0.741587281227,0.8005483074,0.895830734644,1.12073469162,0.748344361782,0.64571428299,0.693251498636,0.774713491662
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020703_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.697947177171,20,False,"[1, 2, 3, 4]",0.001,max,34,2063,0.001,6.84839820862,0.826452612877,0.686349213123,0.749913264822,0.847050793563,1.29498243332,0.716867446899,0.680000007153,0.697947177171,0.770902885299
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020721_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,42,0.702380959669,75,False,"[1, 2]",0.001,max,67,2063,0.001,4.46375799179,0.88987082243,0.831111133099,0.859487858272,0.93626067466,1.12831294537,0.732919275761,0.674285709858,0.702380959669,0.772833796524
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020736_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,11,0.697530851102,25,False,"[1, 2, 3, 4]",0.001,max,36,2063,0.001,6.36458683014,0.837959468365,0.709206342697,0.768225542141,0.869072065855,1.14991891384,0.758389234543,0.64571428299,0.697530851102,0.778320940117
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020758_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,47,0.692307726076,100,False,"[1, 2]",0.001,max,72,2063,0.001,3.99374175072,0.903573811054,0.850793659687,0.876389789853,0.949097297617,1.25753378868,0.717791438103,0.668571412563,0.692307726076,0.772805309782
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020817_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,25,0.692307726076,50,False,"[1, 2, 3]",0.001,max,50,2063,0.001,4.76915311813,0.880903482437,0.8171428442,0.847826076135,0.926365039198,1.17657327652,0.717791438103,0.668571412563,0.692307726076,0.780295323078
